artworkId,titleZh,titleEn,year,medium,dimensions,series,category,image,sourceFile
KXW-W-026,《雎鸠游伴》,Love Forever in the Landscape,2022,纸本水彩 (Watercolor on Paper),46 × 76 cm,光与生命 (Light and Life),watercolor,assets/images/catalogue-raisonne/KXW-026.jpg,KXW-W-026_雎鸠游伴Artwork.docx
KXW-W-027,《映像》,Reflections,2022,纸本水彩（Watercolor on Paper）,76 × 53 cm,田园诗,watercolor,assets/images/catalogue-raisonne/KXW-027.jpg,KXW-W-027-映像Artwork.docx
KXW-W-028,《街边》,By the Street,2022,| Medium纸本水彩（Watercolor on Paper）,53 × 76 cm,| Series田园诗Pastoral Poetry,watercolor,assets/images/catalogue-raisonne/KXW-028.jpg,KXW-W-028 街边Artwork.docx
KXW-W-030,《店里店外》,Inside and Outside the Shop,2024,Watercolor on Paper,36 × 50 cm,田园诗（Pastoral Poetry）,watercolor,assets/images/catalogue-raisonne/KXW-030.jpg,KXW-W-030-店里店外Artwork.docx
KXW-W-031,《乡村琉璃路》,Village Glazed Path,2022,Watercolor on Paper,36 × 54 cm,田园诗（Pastoral Poetry）,watercolor,assets/images/catalogue-raisonne/KXW-031.jpg,KXW-W-031_乡村琉璃路_Vill(1).docx
KXW-W-032,《苔色正浓》,When the Moss Deepens,2022,Watercolor on Paper,36 × 54 cm,田园诗（Pastoral Poetry）,watercolor,assets/images/catalogue-raisonne/KXW-032.jpg,KXW-W-032-苔色正浓-Artwork.docx
KXW-W-043,《林深见鹿》,Habitat,2026,Watercolor on Paper（纸本水彩）,102 × 150 cm,All Beings' Habitat（万物存域）,watercolor,assets/images/catalogue-raisonne/KXW-043.jpg,KXW-W-043_林深见鹿_Artwork.docx
KXW-W-044,《午睡时光》,Afternoon Nap,2026,Watercolor on Paper（纸本水彩）,82 × 112 cm,Pastoral Poems（光与生命）,watercolor,assets/images/catalogue-raisonne/KXW-044.jpg,KXW-W-044_午睡时光_Artwork.docx
KXW-HP-045,《向云端》,Toward the Clouds,2026,Soft Pastel on Paper（纸本色粉）,45 × 57 cm,Light and Life（光与生命）,pastel,assets/images/catalogue-raisonne/KXW-045.jpg,KXW-HP-045_向云端_Artwork.docx
KXW-O-046,《重叠的记忆》,Layers of Memory,2026,Oil on Canvas（布面油画）,40 × 40 cm,Light and Life（光与生命）,oil,assets/images/catalogue-raisonne/KXW-046.jpg,KXW-O-046_重叠的记忆_Artwork.docx
KXW-O-047,《金湾翔集》,Gathering over the Golden Bay,2026,Oil on Canvas（布面油画）,120 × 150 cm,Light and Life（光与生命）,oil,assets/images/catalogue-raisonne/KXW-047.jpg,KXW-O-047_金湾翔集_Artwork.docx
